"","state_abbr","date","traf"
"128","OH",2020-05-29,-24.1273071616984
"129","NH",2020-05-29,-22.8909416839148
"130","NM",2020-05-29,-15.3793966875338
"131","NC",2020-05-29,-23.1733850813682
"132","MT",2020-05-29,-8.11847153192416
"133","MO",2020-05-29,-21.7116013875165
"134","MI",2020-05-29,-27.0713425892122
"135","MA",2020-05-29,-28.4983792219511
"136","IL",2020-05-29,-23.292528489834
"137","IN",2020-05-29,-17.701591447226
"138","LA",2020-05-29,4.1520525590708
"139","FL",2020-05-29,-12.6180329422678
"140","CT",2020-05-29,-34.7898004434222
"141","AZ",2020-05-29,-14.3606696270199
"142","CO",2020-05-29,-13.7596372074852
"143","CO",2020-05-28,-12.9298631626696
"144","AZ",2020-05-28,-13.8050318264689
"145","CT",2020-05-28,-34.4886298938363
"146","FL",2020-05-28,-15.0111335144142
"147","LA",2020-05-28,-7.12394293112526
"148","IN",2020-05-28,-16.0808401822411
"149","IL",2020-05-28,-24.4232617432506
"150","MA",2020-05-28,-28.8436998715884
"151","MI",2020-05-28,-24.9089023968399
"152","MO",2020-05-28,-28.1781696625614
"153","MT",2020-05-28,-7.32547908777223
"154","NC",2020-05-28,-22.3748985121808
"155","NM",2020-05-28,-14.8107622243748
"156","NH",2020-05-28,-19.6737056810008
"157","OH",2020-05-28,-20.0657712953518
"158","RI",2020-05-28,-25.8168375960177
"159","VA",2020-05-28,-33.5387730417239
"160","US",2020-05-28,-20.7681601407611
"161","VT",2020-05-28,-18.1901048595466
"162","VT",2020-05-27,-15.2897101765504
"163","VA",2020-05-27,-31.1407291080705
"164","TN",2020-05-27,-15.13539132066
"165","US",2020-05-27,-19.426824085478
"166","RI",2020-05-27,-21.7769838212294
"167","OH",2020-05-27,-18.6270456402631
"168","NH",2020-05-27,-17.5976505368914
"169","NM",2020-05-27,-13.720116863489
"170","NC",2020-05-27,-22.0163180452727
"171","MT",2020-05-27,-6.65717223222733
"172","MO",2020-05-27,-31.6539000091683
"173","MI",2020-05-27,-22.5506541986254
"174","MA",2020-05-27,-26.4474287728705
"175","IN",2020-05-27,-16.0116374609464
"176","LA",2020-05-27,-4.07162749761029
"177","FL",2020-05-27,-14.70693790474
"178","IL",2020-05-27,-23.3330557407781
"179","CT",2020-05-27,-29.5166909540551
"180","AZ",2020-05-27,-12.1597135194265
"181","CO",2020-05-27,-12.293391684222
"182","CO",2020-05-26,-10.5457692270723
"183","AZ",2020-05-26,-10.2665106478791
"184","CT",2020-05-26,-30.4829705054857
"185","IL",2020-05-26,-23.187169787238
"186","FL",2020-05-26,-14.6928820396988
"187","LA",2020-05-26,-7.31645393989194
"188","IN",2020-05-26,-14.7178764563653
"189","MA",2020-05-26,-26.8733110312463
"190","MI",2020-05-26,-19.7336955063562
"191","MO",2020-05-26,-25.6470636269838
"192","MT",2020-05-26,-7.46342257076412
"193","NC",2020-05-26,-14.1593979097054
"194","NM",2020-05-26,-12.7322607408272
"195","NH",2020-05-26,-16.0506341983604
"196","OH",2020-05-26,-18.9006744691648
"197","RI",2020-05-26,-25.12655556898
"198","US",2020-05-26,-17.9460709669817
"199","TN",2020-05-26,-12.8894851734423
"200","VA",2020-05-26,-31.241631990423
"201","VT",2020-05-26,-11.4811578880169
"202","VT",2020-05-25,-28.9581976884808
"203","VA",2020-05-25,-25.6288329307999
"204","US",2020-05-25,-17.2572316048422
"205","RI",2020-05-25,-28.2248059808924
"206","TN",2020-05-25,-5.97316545430607
"207","OH",2020-05-25,-20.7917318037729
"208","NH",2020-05-25,-25.1315345850449
"209","NM",2020-05-25,-20.1269557014292
"210","MO",2020-05-25,-13.5360829779346
"211","MT",2020-05-25,-4.20825839225886
"212","MA",2020-05-25,-32.180093501607
"213","IN",2020-05-25,-13.9756309699122
"214","FL",2020-05-25,-11.3703129883107
"215","IL",2020-05-25,-18.8149482086873
"216","CT",2020-05-25,-35.6774075430444
"217","AZ",2020-05-25,-9.72932899928326
"218","CO",2020-05-25,-20.8999809679429
"219","CO",2020-05-24,-26.4311095453282
"220","AZ",2020-05-24,-8.74172661264199
"221","CT",2020-05-24,-30.7690404953501
"222","IL",2020-05-24,-27.1636992791456
"223","FL",2020-05-24,-21.3742269521638
"224","IN",2020-05-24,-17.3199937530672
"225","LA",2020-05-24,-12.7465328885716
"226","MA",2020-05-24,-32.3988677997663
"227","MI",2020-05-24,-26.4274555270843
"228","MT",2020-05-24,-13.4196687183846
"229","MO",2020-05-24,-20.8105840687829
"230","NC",2020-05-24,-24.6508266688027
"231","NM",2020-05-24,-18.3043412867969
"232","NH",2020-05-24,-17.2907499974655
"233","OH",2020-05-24,-23.9134741669155
"234","TN",2020-05-24,-10.74139915497
"235","RI",2020-05-24,-15.8520772388402
"236","US",2020-05-24,-22.097036238088
"237","VA",2020-05-24,-29.2374562365414
"238","VT",2020-05-24,-20.6600342094971
"239","VT",2020-05-23,-20.7759376766776
"240","VA",2020-05-23,-29.5757073423337
"241","US",2020-05-23,-19.6439230359058
"242","RI",2020-05-23,-31.265867265991
"243","TN",2020-05-23,-6.16421227496065
"244","OH",2020-05-23,-21.9136230831676
"245","NH",2020-05-23,-19.4657965691154
"246","NM",2020-05-23,-11.9239299246569
"247","NC",2020-05-23,-17.845038633687
"248","MO",2020-05-23,-20.5388085435564
"249","MT",2020-05-23,-13.0709857369309
"250","MI",2020-05-23,-22.3859029338096
"251","MA",2020-05-23,-37.7947236552374
